Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 28.57      0.02     0.02   735443     0.03     0.03  __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >::operator*() const
 28.57      0.04     0.02                             std::less<unsigned int>::operator()(unsigned int const&, unsigned int const&) const
 14.29      0.05     0.01   220269     0.05     0.05  __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >::__normal_iterator(Vector* const&)
 14.29      0.06     0.01                             std::_Rb_tree<unsigned int, std::pair<unsigned int const, Animation*>, std::_Select1st<std::pair<unsigned int const, Animation*> >, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, Animation*> > >::find(unsigned int const&) const
 14.29      0.07     0.01                             std::vector<std::string, std::allocator<std::string> >::at(unsigned int)
  0.00      0.07     0.00   221133     0.00     0.00  __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >::operator*() const
  0.00      0.07     0.00   151054     0.00     0.00  __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >::base() const
  0.00      0.07     0.00   146400     0.00     0.05  __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >::operator++(int)
  0.00      0.07     0.00    75533     0.00     0.00  __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >::__normal_iterator(Actor** const&)
  0.00      0.07     0.00    75487     0.00     0.00  bool __gnu_cxx::operator!=<Vector*, std::vector<Vector, std::allocator<Vector> > >(__gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > > const&, __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > > const&)
  0.00      0.07     0.00    74823     0.00     0.00  __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >::base() const
  0.00      0.07     0.00    73443     0.00     0.00  __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >::__normal_iterator(SDL_Color* const&)
  0.00      0.07     0.00    73423     0.00     0.05  std::vector<Vector, std::allocator<Vector> >::end()
  0.00      0.07     0.00    73200     0.00     0.00  __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >::operator++(int)
  0.00      0.07     0.00    70915     0.00     0.00  __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >::operator*() const
  0.00      0.07     0.00    37276     0.00     0.00  std::vector<Actor*, std::allocator<Actor*> >::end()
  0.00      0.07     0.00    37127     0.00     0.00  bool __gnu_cxx::operator!=<Actor**, std::vector<Actor*, std::allocator<Actor*> > >(__gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > > const&, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > > const&)
  0.00      0.07     0.00    22544     0.00     0.00  __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >::operator++(int)
  0.00      0.07     0.00    11814     0.00     0.00  __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >::base() const
  0.00      0.07     0.00    11806     0.00     0.00  __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >::__normal_iterator(Display** const&)
  0.00      0.07     0.00    11213     0.00     0.00  __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >::__normal_iterator()
  0.00      0.07     0.00    10670     0.00     0.00  std::vector<Actor*, std::allocator<Actor*> >::begin()
  0.00      0.07     0.00     5950     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.07     0.00     5895     0.00     0.00  std::vector<Display*, std::allocator<Display*> >::end()
  0.00      0.07     0.00     5456     0.00     0.00  GameOptions::NewSingleton()
  0.00      0.07     0.00     5046     0.00     0.00  __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >::operator*() const
  0.00      0.07     0.00     4810     0.00     0.00  __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >::operator+(int const&) const
  0.00      0.07     0.00     4525     0.00     0.00  GameStatus::NewSingleton()
  0.00      0.07     0.00     4266     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.07     0.00     3692     0.00     0.00  Game::NewSingleton()
  0.00      0.07     0.00     3086     0.00     0.00  __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >::operator++()
  0.00      0.07     0.00     2366     0.00     0.00  checkPlayerInput(SDL_Event*, int, Player*, GameDisplay*)
  0.00      0.07     0.00     2144     0.00     0.00  __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >::base() const
  0.00      0.07     0.00     1822     0.00     0.00  void std::_Construct<Vector, Vector>(Vector*, Vector const&)
  0.00      0.07     0.00     1685     0.00     0.00  FontRenderer::NewSingleton()
  0.00      0.07     0.00     1682     0.00     0.00  GameDisplay::clampActor(Actor*)
  0.00      0.07     0.00     1543     0.00     0.00  __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >::operator++()
  0.00      0.07     0.00     1161     0.00     0.00  GameDisplay::NewSingleton()
  0.00      0.07     0.00     1129     0.00     0.00  Character::update()
  0.00      0.07     0.00     1094     0.00     0.00  Player::update()
  0.00      0.07     0.00     1094     0.00     0.00  __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >::__normal_iterator()
  0.00      0.07     0.00     1052     0.00     0.00  bool __gnu_cxx::operator!=<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >(__gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > > const&, __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > > const&)
  0.00      0.07     0.00     1022     0.00     0.00  void std::_Destroy<Vector>(Vector*)
  0.00      0.07     0.00      911     0.00     0.00  void std::_Construct<SDL_Color, SDL_Color>(SDL_Color*, SDL_Color const&)
  0.00      0.07     0.00      845     0.00     0.00  std::vector<Display*, std::allocator<Display*> >::begin()
  0.00      0.07     0.00      841     0.00     0.00  processInput(MenuDisplay*, GameDisplay*, Display2D*, Display2D*, Display2D*, MenuDisplay*, Player*, Player*, HUDDisplay*, HUDDisplay*)
  0.00      0.07     0.00      841     0.00     0.00  processMenus(MenuDisplay*, GameDisplay*, Display2D*, Display2D*, Display2D*, MenuDisplay*, Player*, Player*, HUDDisplay*, HUDDisplay*)
  0.00      0.07     0.00      841     0.00     0.00  generateEnemies(GameDisplay*, Player*, Player*)
  0.00      0.07     0.00      841     0.00     0.00  GameDisplay::runCollisions()
  0.00      0.07     0.00      841     0.00     0.00  GameDisplay::update(int)
  0.00      0.07     0.00      841     0.00     0.00  GameDisplay::nextFrame()
  0.00      0.07     0.00      800     0.00     0.11  std::vector<Vector, std::allocator<Vector> >::push_back(Vector const&)
  0.00      0.07     0.00      547     0.00     0.00  HUDDisplay::update(int)
  0.00      0.07     0.00      547     0.00     0.00  HUDDisplay::nextFrame()
  0.00      0.07     0.00      547     0.00    54.68  StarfieldBackground::update()
  0.00      0.07     0.00      547     0.00     0.00  StarfieldBackground::nextFrame()
  0.00      0.07     0.00      547     0.00     0.00  __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >::__normal_iterator()
  0.00      0.07     0.00      547     0.00     0.00  sprintf
  0.00      0.07     0.00      511     0.00     0.00  void std::_Destroy<SDL_Color>(SDL_Color*)
  0.00      0.07     0.00      400     0.00     0.00  std::vector<SDL_Color, std::allocator<SDL_Color> >::push_back(SDL_Color const&)
  0.00      0.07     0.00      386     0.00     0.05  std::vector<Vector, std::allocator<Vector> >::begin()
  0.00      0.07     0.00      310     0.00     0.00  setControlMap(MenuOption*, Player*, int)
  0.00      0.07     0.00      193     0.00     0.00  std::vector<SDL_Color, std::allocator<SDL_Color> >::begin()
  0.00      0.07     0.00      149     0.00     0.00  __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > > std::__copy_ni1<__gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > > >(__gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __true_type)
  0.00      0.07     0.00      149     0.00     0.00  __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > > std::__copy_ni2<Actor**, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > > >(Actor**, Actor**, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __true_type)
  0.00      0.07     0.00      149     0.00     0.00  Actor** std::__copy_aux2<Actor*>(Actor**, Actor**, Actor**, __true_type)
  0.00      0.07     0.00      149     0.00     0.00  Actor** std::__copy_trivial<Actor*>(Actor* const*, Actor* const*, Actor**)
  0.00      0.07     0.00      149     0.00     0.00  __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > > std::copy<__gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > > >(__gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >)
  0.00      0.07     0.00      128     0.00     0.00  std::vector<Actor*, std::allocator<Actor*> >::push_back(Actor* const&)
  0.00      0.07     0.00      128     0.00     0.00  void std::_Construct<Actor*, Actor*>(Actor**, Actor* const&)
  0.00      0.07     0.00      107     0.00     0.00  std::vector<Actor*, std::allocator<Actor*> >::erase(__gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >)
  0.00      0.07     0.00      107     0.00     0.00  void std::_Destroy<Actor*>(Actor**)
  0.00      0.07     0.00       65     0.00     0.00  __gnu_cxx::new_allocator<Actor*>::~new_allocator()
